,TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
5088,Feminino,Branca,Privada,637.4,575.4,626.0,605.0,820.0,PG completo,PG incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
5089,Feminino,Preta,Estadual,473.9,339.8,419.9,439.8,500.0,PG incompleto,ES incompleto,True,17.0,1540.0016666666668,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667
5090,Feminino,Branca,Privada,584.4,485.1,674.3,596.7,860.0,EM incompleto,ES incompleto,True,18.0,1485.00125,1.125,0.25,0.5,1.75
5091,Feminino,Branca,Privada,581.1,618.1,439.6,531.2,500.0,ES incompleto,PG completo,True,18.0,7260.0025,1.0,1.5,0.5,3.5
5092,Feminino,Branca,Privada,623.5,610.1,743.5,596.0,860.0,PG completo,PG completo,True,17.0,5940.001666666667,1.0,0.0,0.6666666666666666,2.6666666666666665
5093,Feminino,Branca,Privada,585.9,509.1,570.8,556.3,600.0,EF-2 incompleto,ES incompleto,True,18.0,1155.0025,1.0,0.5,0.0,2.5
5094,Feminino,Preta,Estadual,503.3,422.9,365.7,466.4,500.0,EF-2 incompleto,EF-1 incompleto,True,18.0,330.00100000000003,0.6,0.0,0.0,0.8
5095,Feminino,Branca,Estadual,536.0,457.9,394.2,488.8,560.0,PG incompleto,PG incompleto,True,18.0,907.50125,0.75,0.25,0.5,1.25
5096,Masculino,Preta,Privada,601.8,470.1,517.7,570.3,580.0,ES incompleto,PG completo,True,18.0,11550.0025,2.25,1.5,0.5,3.0
5097,Masculino,Branca,Privada,512.1,383.5,540.2,488.1,680.0,ES incompleto,ES incompleto,True,17.0,3712.500625,0.5625,0.25,0.25,1.4375
5098,Feminino,Branca,Privada,478.2,439.3,528.8,440.8,800.0,PG incompleto,EM incompleto,True,17.0,924.001,0.9,0.2,0.6,1.6
5099,Feminino,Parda,Privada,506.9,527.2,600.1,515.3,800.0,PG completo,PG completo,True,17.0,1188.001,0.4,0.2,0.2,0.8
5100,Feminino,Parda,Estadual,566.6,423.3,590.2,571.1,620.0,EF-1 incompleto,EF-1 incompleto,True,17.0,1155.0025,1.0,0.5,0.0,3.0
5101,Feminino,Parda,Privada,493.3,594.1,579.3,545.7,780.0,PG completo,PG incompleto,True,17.0,1210.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665
5102,Feminino,Branca,Privada,620.9,598.4,702.0,649.8,840.0,PG completo,PG completo,True,17.0,4840.001666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333
5103,Masculino,Branca,Estadual,650.1,603.5,757.9,617.0,660.0,PG incompleto,PG completo,True,17.0,907.50125,1.125,0.25,0.75,1.5
5104,Feminino,Branca,Estadual,549.0,465.3,523.5,538.0,860.0,ES incompleto,PG incompleto,True,17.0,2145.0012500000003,1.125,0.5,0.25,1.25
5105,Feminino,Branca,Privada,450.0,464.7,474.8,385.9,360.0,PG incompleto,PG completo,True,18.0,1540.0016666666668,1.5,0.3333333333333333,0.3333333333333333,2.333333333333333
5106,Feminino,Branca,Estadual,613.9,562.1,608.8,602.2,620.0,EF-2 incompleto,PG incompleto,True,18.0,726.001,0.9,0.4,0.0,0.8
5107,Masculino,Branca,Privada,561.8,589.7,716.1,526.0,860.0,PG incompleto,PG completo,True,17.0,4840.001666666667,1.0,0.6666666666666666,0.6666666666666666,2.0
5108,Feminino,Amarela,Privada,623.4,614.8,750.5,685.6,800.0,PG incompleto,PG completo,True,17.0,11550.0025,1.5,1.5,0.5,2.0
5109,Feminino,Branca,Estadual,417.7,355.5,435.7,427.3,640.0,EM incompleto,ES incompleto,True,18.0,577.50125,0.0,0.0,0.75,0.75
5110,Masculino,Branca,Estadual,547.3,541.1,691.8,529.4,680.0,EF-2 incompleto,ES incompleto,True,17.0,990.0008333333334,0.75,0.3333333333333333,0.3333333333333333,1.0
5111,Feminino,Branca,Privada,708.9,586.9,736.2,707.4,940.0,PG incompleto,PG incompleto,True,17.0,4455.00125,1.125,0.5,0.5,1.5
5112,Masculino,Branca,Privada,621.3,616.3,783.5,645.2,880.0,PG incompleto,PG incompleto,True,17.0,7425.001249999999,1.125,0.25,0.5,1.75
